1089-134686-0007  A cold, lucid indifference reigned in his soul.
1089-134686-0012  Her eyes seemed to regard him with mild pity. Her holiness, a strange light glowing faintly upon her frail flesh, did not humiliate the sinner who approached her.
1089-134686-0024  If the wine change into vinegar, and the host crumble into corruption after they have been consecrated, is Jesus Christ still present under their species as God and as man?
1089-134686-0031  Stephen's heart began slowly to fold and fade with fear like a withering flower.
1089-134686-0037  In the silence their dark fire kindled the dusk into a tawny glow.
1089-134691-0001  For a full hour he had paced up and down, waiting, but he could wait no longer.
1089-134691-0012  It was idle for him to move himself to be generous towards them, to tell himself that if he ever came to their gates, stripped of his pride, beaten and in beggars' weeds, that they would be generous towards him, loving him as themselves.
1188-133604-0001  They unite every quality, and sometimes you will find me referring to them as colorists, sometimes as chiaroscurists.
1188-133604-0003  My first and principal reason was that they enforced, beyond all resistance, on any student who might attempt to copy them, this method of laying portions of distinct hue side by side.
1188-133604-0004  Some of the touches indeed, when the tint has been mixed with much water, have been laid in little drops or ponds, so that the pigment might crystallize hard at the edge.
1188-133604-0009  Now you will see in these studies that the moment the white is enclosed properly and harmonized with the other hues, it becomes somehow more precious and pearly than the white paper. And that I am not afraid to leave a whole field of untreated white paper all round it, being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly.
1188-133604-0014  Do not, therefore, think that the Gothic school is an easy one.
1188-133604-0016  This at once compels you to understand that the work is to be imaginative and decorative, that it represents beautiful things in the clearest way, but not under existing conditions, and that, in fact, you are producing jeweler's work rather than pictures.
1188-133604-0024  Nothing will be more precious to you, I think, in the practical study of art than the conviction, which will force itself on you more and more every hour, of the way all things are bound together, little and great, in spirit and in matter.
1188-133604-0027  Now here is Raphael. Exactly between the two, trees still drawn leaf by leaf, wholly formal, but beautiful mist coming gradually into the distance.
1188-133604-0031  There's one and there's another, the Dudley and the Flint.
1188-133604-0040  The crampness and the poverty are all intended.
1188-133604-0041  It is a gleener bringing down her one sheaf of corn to an old water mill, itself mossy and rent, scarcely able to get its stones to turn.
